Date,Major ions (NO_{3}^{-}) (NO3-) mg/L
2003/01/04,
2003/02/04,
2003/03/04,
2003/04/04,
2003/05/04,
2003/06/04,
2003/07/04,
2003/08/04,
2003/09/04,
2003/10/04,
2003/11/04,
2003/12/04,
2004/01/04,
2004/02/04,
2004/03/04,
2004/04/04,
2004/05/04,
2004/06/04,
2004/07/04,
2004/08/04,
2004/09/04,
2004/10/04,
2004/11/04,
2004/12/04,
2005/01/04,
2005/02/04,
2005/03/04,
2005/04/10,17.667
2005/05/10,8.44
2005/06/10,7.932
2005/07/10,
2005/08/10,8.542
2005/09/10,9.744
2005/10/10,12.013
2005/11/10,9.754527
2005/12/10,10.973469
2006/01/10,12.495147
2006/02/10,9.753529
2006/03/10,13.68911
2006/04/10,
2006/05/10,
2006/06/10,
2006/07/10,
2006/08/10,
2006/09/10,
2006/10/10,11.15
2006/11/10,
2006/12/10,
2007/01/23,14.034
2007/02/10,15.015696
2007/03/10,22.33
2007/04/10,19.51192
2007/05/10,8.186523
2007/06/10,4.7507286
2007/07/10,5.599073
2007/08/10,6.574669
2007/09/10,5.217318
2007/10/10,6.617086
2007/11/10,8.186523
2007/12/10,12.813
2008/01/10,12.813
2008/02/10,14.464
2008/03/10,16.474
2008/04/10,14.644
2008/05/10,12.939
2008/06/10,8.945
2008/07/10,7.001
2008/08/10,8.45
2008/09/10,10.187
2008/10/10,10.604
2008/11/10,11.405
2008/12/10,11.335
2009/01/10,10.972
2009/02/10,14.12
2009/03/10,13.677
2009/04/10,12.4213705
2009/05/10,13.356049
2009/06/10,9.887903
2009/07/10,7.625
2009/08/10,8.6088705
2009/09/10,10.109274
2009/10/10,10.576612
2009/11/10,9.152
2009/12/10,10.983
2010/01/10,
2010/02/10,20.136
2010/03/10,21.966
2010/04/10,15.254
2010/05/10,6.102
2010/06/10,6.712
2010/07/10,6.712
2010/08/10,7.932
2010/09/10,9.76
2010/10/10,11.59
2010/11/10,12.81
2010/12/10,10.373
2011/01/10,10.983
2011/02/10,14.034
2011/03/10,15.864
2011/04/10,12.204
2011/05/10,9.763
2011/06/10,7.322
2011/07/10,7.322
2011/08/10,7.322
2011/09/10,10.98
2011/10/10,12.81
2011/11/10,12.2
2011/12/10,10.98
2012/01/10,11.59
2012/02/10,14.64
2012/03/10,15.25
2012/04/10,14.03
2012/05/10,10.77
2012/06/10,9.15
2012/07/10,9.15
2012/08/10,
2012/09/10,9.76
2012/10/10,12.2
2012/11/10,14.03
2012/12/10,11.59
2013/01/10,16.47
2013/02/10,
2013/03/10,16.47
2013/04/10,13.42
2013/05/10,
2013/06/10,
2013/07/10,5.49
2013/08/10,7.32
2013/09/10,7.93
2013/10/10,
2013/11/10,9.763
2013/12/10,11.593
2014/01/10,11.593
2014/02/10,18.916
2014/03/10,
2014/04/10,
2014/05/20,7.322
2014/06/10,
2014/07/10,6.712
2014/08/10,6.712
2014/09/10,6.712
2014/10/10,9.152
2014/11/10,8.542
2014/12/10,11.594
2015/01/10,14.644
2015/02/12,17.085
2015/03/10,17.085
2015/04/09,16.475
2015/05/12,10.373
2015/06/10,7.32
2015/07/10,9.673
2015/08/10,9.673
2015/09/10,
2015/10/10,
2015/11/10,10.983
2015/12/10,12.203
2016/01/10,15.865
2016/02/10,17.695
2016/03/10,25.017
2016/04/10,25.017
2016/05/10,10.373
2016/06/10,
2016/07/10,4.881
2016/08/10,10.983
2016/09/10,12.814
2016/10/10,18.915
2016/11/10,15.254
2016/12/10,17.695
2017/01/10,13.424
2017/02/10,9.153
2017/03/11,21.356
2017/04/17,18.306
2017/05/10,9.763
2017/06/10,9.763
2017/07/10,8.542
2017/08/10,7.322
2017/09/10,9.763
2017/10/10,10.373
2017/11/11,
2017/12/09,
2018/01/11,
2018/02/10,
2018/03/10,
2018/04/10,
2018/05/10,
2018/06/11,
2018/07/11,
2018/08/09,
2018/09/11,
2018/10/10,
2018/11/11,11.59
2018/12/11,10.37
2019/01/09,14.03
2019/02/11,17.7
2019/03/10,
2019/04/10,18.92
2019/05/10,7.93
2019/06/10,6.71
2019/07/10,7.93
2019/08/10,9.76
2019/09/10,10.37
2019/10/10,9.76
