Date,Origine,40800000_D_J1_(m3/s)
1926/01/01 12:00,L,11950
1926/01/02 12:00,L,11546
1926/01/03 12:00,L,11148
1926/01/04 12:00,L,10756
1926/01/05 12:00,L,10371
1926/01/06 12:00,L,9868
1926/01/07 12:00,L,9560
1926/01/08 12:00,L,9135
1926/01/09 12:00,L,8720
1926/01/10 12:00,L,8143
1926/01/11 12:00,L,7694
1926/01/12 12:00,L,7203
1926/01/13 12:00,L,6990
1926/01/14 12:00,L,6728
1926/01/15 12:00,L,6572
1926/01/16 12:00,L,6470
1926/01/17 12:00,L,6368
1926/01/18 12:00,L,6267
1926/01/19 12:00,L,6117
1926/01/20 12:00,L,6018
1926/01/21 12:00,L,5871
1926/01/22 12:00,L,5822
1926/01/23 12:00,L,5629
1926/01/24 12:00,L,5486
1926/01/25 12:00,L,5299
1926/01/26 12:00,L,5114
1926/01/27 12:00,L,4888
1926/01/28 12:00,L,4710
1926/01/29 12:00,L,4535
1926/01/30 12:00,L,4406
1926/01/31 12:00,L,4237
1926/02/01 12:00,L,4154
1926/02/02 12:00,L,4071
1926/02/03 12:00,L,3989
1926/02/04 12:00,L,3949
1926/02/05 12:00,L,3908
1926/02/06 12:00,L,3868
1926/02/07 12:00,L,3868
1926/02/08 12:00,L,3828
1926/02/09 12:00,L,3828
1926/02/10 12:00,L,3788
1926/02/11 12:00,L,3748
1926/02/12 12:00,L,3709
1926/02/13 12:00,L,3630
1926/02/14 12:00,L,3553
1926/02/15 12:00,L,3514
1926/02/16 12:00,L,3438
1926/02/17 12:00,L,3419
1926/02/18 12:00,L,3400
1926/02/19 12:00,L,3362
1926/02/20 12:00,L,3324
1926/02/21 12:00,L,3287
1926/02/22 12:00,L,3250
1926/02/23 12:00,L,3213
1926/02/24 12:00,L,3176
1926/02/25 12:00,L,3176
1926/02/26 12:00,L,3140
1926/02/27 12:00,L,3103
1926/02/28 12:00,L,3067
1926/03/01 12:00,L,2995
1926/03/02 12:00,L,2960
1926/03/03 12:00,L,2960
1926/03/04 12:00,L,2924
1926/03/05 12:00,L,2889
1926/03/06 12:00,L,2854
1926/03/07 12:00,L,2819
1926/03/08 12:00,L,2785
1926/03/09 12:00,L,2751
1926/03/10 12:00,L,2716
1926/03/11 12:00,L,2682
1926/03/12 12:00,L,2649
1926/03/13 12:00,L,2615
1926/03/14 12:00,L,2582
1926/03/15 12:00,L,2548
1926/03/16 12:00,L,2515
1926/03/17 12:00,L,2483
1926/03/18 12:00,L,2450
1926/03/19 12:00,L,2450
1926/03/20 12:00,L,2418
1926/03/21 12:00,L,2418
1926/03/22 12:00,L,2450
1926/03/23 12:00,L,2450
1926/03/24 12:00,L,2450
1926/03/25 12:00,L,2450
1926/03/26 12:00,L,2483
1926/03/27 12:00,L,2483
1926/03/28 12:00,L,2483
1926/03/29 12:00,L,2450
1926/03/30 12:00,L,2450
1926/03/31 12:00,L,2450
1926/04/01 12:00,L,2450
1926/04/02 12:00,L,2450
1926/04/03 12:00,L,2450
1926/04/04 12:00,L,2418
1926/04/05 12:00,L,2385
1926/04/06 12:00,L,2354
1926/04/07 12:00,L,2322
1926/04/08 12:00,L,2290
1926/04/09 12:00,L,2259
1926/04/10 12:00,L,2259
1926/04/11 12:00,L,2259
1926/04/12 12:00,L,2259
1926/04/13 12:00,L,2259
1926/04/14 12:00,L,2259
1926/04/15 12:00,L,2228
1926/04/16 12:00,L,2228
1926/04/17 12:00,L,2228
1926/04/18 12:00,L,2228
1926/04/19 12:00,L,2197
1926/04/20 12:00,L,2197
1926/04/21 12:00,L,2197
1926/04/22 12:00,L,2228
1926/04/23 12:00,L,2259
1926/04/24 12:00,L,2259
1926/04/25 12:00,L,2290
1926/04/26 12:00,L,2322
1926/04/27 12:00,L,2322
1926/04/28 12:00,L,2354
1926/04/29 12:00,L,2354
1926/04/30 12:00,L,2354
1926/05/01 12:00,L,2385
1926/05/02 12:00,L,2418
1926/05/03 12:00,L,2483
1926/05/04 12:00,L,2515
1926/05/05 12:00,L,2548
1926/05/06 12:00,L,2582
1926/05/07 12:00,L,2649
1926/05/08 12:00,L,2682
1926/05/09 12:00,L,2716
1926/05/10 12:00,L,2751
1926/05/11 12:00,L,2785
1926/05/12 12:00,L,2819
1926/05/13 12:00,L,2854
1926/05/14 12:00,L,2889
1926/05/15 12:00,L,2924
1926/05/16 12:00,L,2960
1926/05/17 12:00,L,2995
1926/05/18 12:00,L,3140
1926/05/19 12:00,L,3324
1926/05/20 12:00,L,3748
1926/05/21 12:00,L,4154
1926/05/22 12:00,L,4535
1926/05/23 12:00,L,4710
1926/05/24 12:00,L,4754
1926/05/25 12:00,L,4843
1926/05/26 12:00,L,4933
1926/05/27 12:00,L,4978
1926/05/28 12:00,L,5069
1926/05/29 12:00,L,5160
1926/05/30 12:00,L,5252
1926/05/31 12:00,L,5345
1926/06/01 12:00,L,5486
1926/06/02 12:00,L,5534
1926/06/03 12:00,L,5581
1926/06/04 12:00,L,5677
1926/06/05 12:00,L,5774
1926/06/06 12:00,L,6067
1926/06/07 12:00,L,6676
1926/06/08 12:00,L,8897
1926/06/09 12:00,L,11082
1926/06/10 12:00,L,13131
1926/06/11 12:00,L,14587
1926/06/12 12:00,L,15726
1926/06/13 12:00,L,16904
1926/06/14 12:00,L,17916
1926/06/15 12:00,L,18955
1926/06/16 12:00,L,19592
1926/06/17 12:00,L,20456
1926/06/18 12:00,L,21561
1926/06/19 12:00,L,22464
1926/06/20 12:00,L,23804
1926/06/21 12:00,L,24559
1926/06/22 12:00,L,24989
1926/06/23 12:00,L,25518
1926/06/24 12:00,L,26004
1926/06/25 12:00,L,26494
1926/06/26 12:00,L,26939
1926/06/27 12:00,L,27337
1926/06/28 12:00,L,27738
1926/06/29 12:00,L,28244
1926/06/30 12:00,L,28651
1926/07/01 12:00,L,29163
1926/07/02 12:00,L,29680
1926/07/03 12:00,L,30097
1926/07/04 12:00,L,30516
1926/07/05 12:00,L,30833
1926/07/06 12:00,L,31257
1926/07/07 12:00,L,32005
1926/07/08 12:00,L,33089
1926/07/09 12:00,L,34300
1926/07/10 12:00,L,36326
1926/07/11 12:00,L,36899
1926/07/12 12:00,L,37244
1926/07/13 12:00,L,37707
1926/07/14 12:00,L,38173
1926/07/15 12:00,L,38523
1926/07/16 12:00,L,38994
1926/07/17 12:00,L,39348
1926/07/18 12:00,L,39704
1926/07/19 12:00,L,40181
1926/07/20 12:00,L,40420
1926/07/21 12:00,L,41022
1926/07/22 12:00,L,41749
1926/07/23 12:00,L,42482
1926/07/24 12:00,L,43717
1926/07/25 12:00,L,44717
1926/07/26 12:00,L,45221
1926/07/27 12:00,L,45348
1926/07/28 12:00,L,45474
1926/07/29 12:00,L,45601
1926/07/30 12:00,L,45728
1926/07/31 12:00,L,45855
1926/08/01 12:00,L,45982
1926/08/02 12:00,L,46109
1926/08/03 12:00,L,46237
1926/08/04 12:00,L,46365
1926/08/05 12:00,L,46492
1926/08/06 12:00,L,46620
1926/08/07 12:00,L,46620
1926/08/08 12:00,L,46620
1926/08/09 12:00,L,46749
1926/08/10 12:00,L,46749
1926/08/11 12:00,L,46877
1926/08/12 12:00,L,47006
1926/08/13 12:00,L,47134
1926/08/14 12:00,L,47134
1926/08/15 12:00,L,47263
1926/08/16 12:00,L,47521
1926/08/17 12:00,L,47910
