Date,Major ions (NO_{3}^{-}) (NO3-) mg/L
2003/01/26,
2003/02/26,
2003/03/26,
2003/04/09,0.037
2003/05/10,
2003/06/10,0.2896
2003/07/10,0.053
2003/08/10,0.2265
2003/09/10,0.0636
2003/10/10,0.1974
2003/11/10,
2003/12/10,0.0424
2004/01/29,0.0351
2004/02/29,0.5021
2004/03/20,
2004/04/10,0.0871
2004/05/10,0.1298
2004/06/10,0.1222
2004/07/10,0.1083
2004/08/10,0.0634
2004/09/10,0.0773
2004/10/10,0.0782
2004/11/10,0.0596
2004/12/10,0.0371
2005/01/10,0.041
2005/02/10,0.0618
2005/03/10,0.0812
2005/04/10,0.0914
2005/05/10,0.0688
2005/06/10,
2005/07/10,0.0596
2005/08/10,0.0532
2005/09/10,0.0423
2005/10/10,0.0672
2005/11/10,0.0309
2005/12/10,
2006/01/29,0.0802
2006/02/20,0.5425
2006/03/10,0.0773
2006/04/10,0.0332
2006/05/10,0.0667
2006/06/10,0.3659
2006/07/10,0.4552
2006/08/10,0.1297
2006/09/10,1.671
2006/10/10,0.2119
2006/11/10,0.4063
2006/12/10,
2007/01/10,
2007/02/10,0.8882
2007/03/10,0.6957
2007/04/10,0.126
2007/05/10,0.1694
2007/06/10,0.3823
2007/07/10,0.2765
2007/08/10,0.3557
2007/09/10,0.4823
2007/10/10,
2007/11/10,
2007/12/10,
2008/01/10,
2008/02/10,
2008/03/10,
2008/04/10,
2008/05/10,
2008/06/10,
2008/07/10,
2008/08/10,
2008/09/10,
2008/10/10,
2008/11/10,
2008/12/10,
2009/01/10,
2009/02/10,
2009/03/10,
2009/04/22,0.0661
2009/05/10,0.4782
2009/06/10,0.2127
2009/07/10,0.1873
2009/08/10,0.1947
2009/09/10,0.3792
2009/10/10,0.3394
2009/11/10,0.3317
2009/12/10,0.575
2010/01/10,1.736
2010/02/10,0.8294
2010/03/10,1.014
2010/04/10,0.5347
2010/05/10,0.0708
2010/06/10,0.0961
2010/07/10,0.2556
2010/08/10,0.349
2010/09/10,0.1035
2010/10/10,0.1617
2010/11/10,0.3609
2010/12/10,0.5389
2011/01/10,
2011/02/22,1.195
2011/03/10,1.189
2011/04/10,0.1166
2011/05/10,0.6974
2011/06/10,0.2924
2011/07/10,0.5801
2011/08/10,0.1698
2011/09/10,0.5825
2011/10/10,
2011/11/10,0.3855
2011/12/10,0.3661
2012/01/10,1.037
2012/02/10,0.8877
2012/03/10,1.229
2012/04/10,0.6956
2012/05/10,0.1783
2012/06/10,0.2513
2012/07/10,0.4171
2012/08/10,0.224
2012/09/10,0.1555
2012/10/10,0.4307
2012/11/10,0.0601
2012/12/10,0.1943
2013/01/10,
2013/02/10,0.5627
2013/03/10,0.7249
2013/04/10,0.341
2013/05/10,0.7583
2013/06/10,0.389
2013/07/10,0.1267
2013/08/10,0.2498
2013/09/10,0.1787
2013/10/10,0.5462
2013/11/10,1.048
2013/12/10,0.9334
2014/01/10,1.761
2014/02/10,1.262
2014/03/10,
2014/04/10,0.588
2014/05/10,0.3694
2014/06/10,0.537
2014/07/10,0.3223
2014/08/10,0.4142
2014/09/10,0.4319
2014/10/10,0.6274
2014/11/10,0.9735
2014/12/10,0.6775
2015/01/10,0.9577
2015/02/10,2.007
2015/03/10,1.405
2015/04/10,0.6375
2015/05/10,0.4605
2015/06/10,0.1104
2015/07/10,0.3889
2015/08/10,0.2491
2015/09/10,0.0599
2015/10/10,0.2233
2015/11/10,0.7031
2015/12/10,0.5451
2016/01/10,0.8049
2016/02/10,0.0018
2016/03/10,0.7842
2016/04/10,1.0484
2016/05/10,0.0093
2016/06/10,0.0143
2016/07/10,1.2993
2016/08/10,0.7689
2016/09/10,0.582
2016/10/10,0.1009
2016/11/10,0.2129
2016/12/10,0.6243
2017/01/10,2.7063
2017/02/10,0.2058
2017/03/10,1.6128
2017/04/10,0.594
2017/05/10,0.5624
2017/06/10,0.239
2017/07/10,0.3152
2017/08/10,0.6444
2017/09/10,0.6485
2017/10/10,0.0164
2017/11/09,0.033
2017/12/09,1.5119
2018/01/10,0.9316
2018/02/10,0.0077
2018/03/10,1.1693
2018/04/10,0.6078
2018/05/09,0.5754
2018/06/11,0.5906
2018/07/10,0.1752
2018/08/10,0.3287
2018/09/10,0.3459
2018/10/10,0.4595
2018/11/10,0.0072
2018/12/10,1.2421
2019/01/10,0.2009
2019/02/10,0.1173
2019/03/10,0.056
2019/04/10,0.8601
2019/05/10,0.1957
2019/06/10,0.2206
2019/07/10,0.343
2019/08/10,0.0511
2019/09/10,0.0856
2019/10/10,0.2443
2019/11/11,0.2753
2019/12/10,0.0652
2020/01/10,0.0932
2020/02/10,0.0725
2020/03/10,1.6085
2020/04/10,0.1263
2020/05/10,0.2458
2020/06/10,0.0646
2020/07/10,
2020/08/10,0.1453
2020/09/10,
2020/10/10,0.0282
2020/11/10,0.2923
2020/12/10,0.2451
2021/01/10,1.6214
2021/02/10,1.9395
2021/03/10,1.6639
2021/04/10,
2021/05/10,
2021/06/10,0.2524
2021/07/10,0.2009
2021/08/10,
2021/09/10,0.333
2021/10/10,0.2999
2021/11/10,0.3942
2021/12/10,
2022/01/10,0.9867
2022/02/10,0.1554
2022/03/10,0.1839
2022/04/10,
2022/05/10,0.1019
2022/06/10,0.1024
2022/07/10,
2022/08/10,
2022/09/10,
2022/10/10,
2022/11/10,
2022/12/10,
2023/01/10,0.6607
2023/02/10,0.2556
2023/03/10,0.7975
2023/04/10,0.8925
2023/05/10,0.8383
2023/06/10,0.3697
2023/07/10,0.2064
2023/08/10,0.1155
2023/09/10,0.1156
2023/10/10,0.499
2023/11/10,1.0653
2023/12/10,0.8645
