Date,Origine,17050001_D_J1_(m3/s)
1967/05/07 12:00,R,221800
1967/05/08 12:00,R,222800
1967/05/09 12:00,R,223000
1967/05/10 12:00,R,223400
1967/05/11 12:00,R,224000
1967/05/12 12:00,R,224600
1967/05/13 12:00,R,225600
1967/05/14 12:00,R,226500
1967/05/15 12:00,R,227500
1967/05/16 12:00,R,228500
1967/05/17 12:00,R,229300
1967/05/18 12:00,R,230200
1967/05/19 12:00,R,230900
1967/05/20 12:00,R,231600
1967/05/21 12:00,R,232000
1967/05/22 12:00,R,232400
1967/05/23 12:00,R,232600
1967/05/24 12:00,R,233100
1967/05/25 12:00,R,233300
1967/05/26 12:00,R,233400
1967/05/27 12:00,R,233700
1967/05/28 12:00,R,234100
1967/05/29 12:00,R,234500
1967/05/30 12:00,R,234900
1967/05/31 12:00,R,235200
1967/06/01 12:00,R,235500
1967/06/02 12:00,R,235500
1967/06/03 12:00,R,235600
1967/06/04 12:00,R,235500
1967/06/05 12:00,R,235600
1967/06/06 12:00,R,235400
1967/06/07 12:00,R,235400
1967/06/08 12:00,R,235200
1967/06/09 12:00,R,235200
1967/06/10 12:00,R,234900
1967/06/11 12:00,R,234700
1967/06/12 12:00,R,234600
1967/06/13 12:00,R,234600
1967/06/14 12:00,R,234400
1967/06/15 12:00,R,234400
1967/06/16 12:00,R,234400
1967/06/17 12:00,R,234400
1967/06/18 12:00,R,234200
1967/06/19 12:00,R,234100
1967/06/20 12:00,R,234000
1967/06/21 12:00,R,233700
1967/06/22 12:00,R,233400
1967/06/23 12:00,R,233200
1967/06/24 12:00,R,232800
1967/06/25 12:00,R,232300
1967/06/26 12:00,R,231800
1967/06/27 12:00,R,231600
1967/06/28 12:00,R,231200
1967/06/29 12:00,R,231200
1967/06/30 12:00,R,231100
1967/07/01 12:00,R,230900
1967/07/02 12:00,R,230800
1967/07/03 12:00,R,230400
1967/07/04 12:00,R,229900
1967/07/05 12:00,R,229300
1967/07/06 12:00,R,228700
1967/07/07 12:00,R,228300
1967/07/08 12:00,R,227800
1967/07/09 12:00,R,227600
1967/07/10 12:00,R,227000
1967/07/11 12:00,R,226500
1967/07/12 12:00,R,225700
1967/07/13 12:00,R,225000
1967/07/14 12:00,R,224500
1967/07/15 12:00,R,223900
1967/07/16 12:00,R,223500
1967/07/17 12:00,R,223400
1967/07/18 12:00,R,222900
1967/07/19 12:00,R,222400
1967/07/20 12:00,R,221700
1967/07/21 12:00,R,221100
1967/07/22 12:00,R,220300
1967/07/23 12:00,R,219300
1967/07/24 12:00,R,218600
1967/07/25 12:00,R,217900
1967/07/26 12:00,R,217200
1967/07/27 12:00,R,216400
1967/07/28 12:00,R,215800
1967/07/29 12:00,R,215300
